symbol,icon,color,explanation
KHC,https://image-cdn.pluang.com/icons/light/global-stocks/khc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
FIS,https://image-cdn.pluang.com/icons/light/global-stocks/fis.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HSY,https://image-cdn.pluang.com/icons/light/global-stocks/hsy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SYY,https://image-cdn.pluang.com/icons/light/global-stocks/syy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ED,https://image-cdn.pluang.com/icons/light/global-stocks/ed.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
EA,https://image-cdn.pluang.com/icons/light/global-stocks/ea.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GIS,https://image-cdn.pluang.com/icons/light/global-stocks/gis.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
IDXX,https://image-cdn.pluang.com/icons/light/global-stocks/idxx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
RMD,https://image-cdn.pluang.com/icons/light/global-stocks/rmd.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
LEN,https://image-cdn.pluang.com/icons/light/global-stocks/len.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
LVS,https://image-cdn.pluang.com/icons/light/global-stocks/lvs.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
TSCO,https://image-cdn.pluang.com/icons/light/global-stocks/tsco.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AWK,https://image-cdn.pluang.com/icons/light/global-stocks/awk.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CHD,https://image-cdn.pluang.com/icons/light/global-stocks/chd.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DOW,https://image-cdn.pluang.com/icons/light/global-stocks/dow.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ADM,https://image-cdn.pluang.com/icons/light/global-stocks/adm.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ATO,https://image-cdn.pluang.com/icons/light/global-stocks/ato.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DVN,https://image-cdn.pluang.com/icons/light/global-stocks/dvn.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CDW,https://image-cdn.pluang.com/icons/light/global-stocks/cdw.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
FE,https://image-cdn.pluang.com/icons/light/global-stocks/fe.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MKC,https://image-cdn.pluang.com/icons/light/global-stocks/mkc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
XPEV,https://image-cdn.pluang.com/icons/light/global-stocks/xpev.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
TSN,https://image-cdn.pluang.com/icons/light/global-stocks/tsn.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HAL,https://image-cdn.pluang.com/icons/light/global-stocks/hal.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ZBH,https://image-cdn.pluang.com/icons/light/global-stocks/zbh.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
EC,https://image-cdn.pluang.com/icons/light/global-stocks/ec.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BAX,https://image-cdn.pluang.com/icons/light/global-stocks/bax.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GFI,https://image-cdn.pluang.com/icons/light/global-stocks/gfi.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DG,https://image-cdn.pluang.com/icons/light/global-stocks/dg.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WMG,https://image-cdn.pluang.com/icons/light/global-stocks/wmg.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ARE,https://image-cdn.pluang.com/icons/light/global-stocks/are.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GPC,https://image-cdn.pluang.com/icons/light/global-stocks/gpc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BBY,https://image-cdn.pluang.com/icons/light/global-stocks/bby.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
UMC,https://image-cdn.pluang.com/icons/light/global-stocks/umc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
OMC,https://image-cdn.pluang.com/icons/light/global-stocks/omc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HRL,https://image-cdn.pluang.com/icons/light/global-stocks/hrl.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
LNT,https://image-cdn.pluang.com/icons/light/global-stocks/lnt.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MRO,https://image-cdn.pluang.com/icons/light/global-stocks/mro.svg,#808080,Data tidak tersedia
AMCR,https://image-cdn.pluang.com/icons/light/global-stocks/amcr.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HOLX,https://image-cdn.pluang.com/icons/light/global-stocks/holx.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MRNA,https://image-cdn.pluang.com/icons/light/global-stocks/mrna.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
INCY,https://image-cdn.pluang.com/icons/light/global-stocks/incy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CF,https://image-cdn.pluang.com/icons/light/global-stocks/cf.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CAG,https://image-cdn.pluang.com/icons/light/global-stocks/cag.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SJM,https://image-cdn.pluang.com/icons/light/global-stocks/sjm.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CPB,https://image-cdn.pluang.com/icons/light/global-stocks/cpb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ACI,https://image-cdn.pluang.com/icons/light/global-stocks/aci.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CHRW,https://image-cdn.pluang.com/icons/light/global-stocks/chrw.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
PAYC,https://image-cdn.pluang.com/icons/light/global-stocks/payc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
DVA,https://image-cdn.pluang.com/icons/light/global-stocks/dva.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SWKS,https://image-cdn.pluang.com/icons/light/global-stocks/swks.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CTLT,https://image-cdn.pluang.com/icons/light/global-stocks/ctlt.svg,#808080,Data tidak tersedia
ALLE,https://image-cdn.pluang.com/icons/light/global-stocks/alle.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BEN,https://image-cdn.pluang.com/icons/light/global-stocks/ben.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AOS,https://image-cdn.pluang.com/icons/light/global-stocks/aos.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WBA,https://image-cdn.pluang.com/icons/light/global-stocks/wba.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WYNN,https://image-cdn.pluang.com/icons/light/global-stocks/wynn.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NIO,https://image-cdn.pluang.com/icons/light/global-stocks/nio.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CRL,https://image-cdn.pluang.com/icons/light/global-stocks/crl.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HAS,https://image-cdn.pluang.com/icons/light/global-stocks/has.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WMS,https://image-cdn.pluang.com/icons/light/global-stocks/wms.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ALB,https://image-cdn.pluang.com/icons/light/global-stocks/alb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GAP,https://image-cdn.pluang.com/icons/light/global-stocks/gap.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
PARA,https://image-cdn.pluang.com/icons/light/global-stocks/para.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MTCH,https://image-cdn.pluang.com/icons/light/global-stocks/mtch.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ENPH,https://image-cdn.pluang.com/icons/light/global-stocks/enph.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NYT,https://image-cdn.pluang.com/icons/light/global-stocks/nyt.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AES,https://image-cdn.pluang.com/icons/light/global-stocks/aes.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ICL,https://image-cdn.pluang.com/icons/light/global-stocks/icl.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AGCO,https://image-cdn.pluang.com/icons/light/global-stocks/agco.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
LW,https://image-cdn.pluang.com/icons/light/global-stocks/lw.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HMY,https://image-cdn.pluang.com/icons/light/global-stocks/hmy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CELH,https://image-cdn.pluang.com/icons/light/global-stocks/celh.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
CROX,https://image-cdn.pluang.com/icons/light/global-stocks/crox.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
FMC,https://image-cdn.pluang.com/icons/light/global-stocks/fmc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ETSY,https://image-cdn.pluang.com/icons/light/global-stocks/etsy.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WU,https://image-cdn.pluang.com/icons/light/global-stocks/wu.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
M,https://image-cdn.pluang.com/icons/light/global-stocks/m.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BC,https://image-cdn.pluang.com/icons/light/global-stocks/bc.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HOG,https://image-cdn.pluang.com/icons/light/global-stocks/hog.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WEN,https://image-cdn.pluang.com/icons/light/global-stocks/wen.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
UAA,https://image-cdn.pluang.com/icons/light/global-stocks/uaa.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
GT,https://image-cdn.pluang.com/icons/light/global-stocks/gt.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SBSW,https://image-cdn.pluang.com/icons/light/global-stocks/sbsw.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
WB,https://image-cdn.pluang.com/icons/light/global-stocks/wb.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
AAP,https://image-cdn.pluang.com/icons/light/global-stocks/aap.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
MTTR,https://image-cdn.pluang.com/icons/light/global-stocks/mttr.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
ARR,https://image-cdn.pluang.com/icons/light/global-stocks/arr.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
KSS,https://image-cdn.pluang.com/icons/light/global-stocks/kss.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NVAX,https://image-cdn.pluang.com/icons/light/global-stocks/nvax.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SEDG,https://image-cdn.pluang.com/icons/light/global-stocks/sedg.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
HLF,https://image-cdn.pluang.com/icons/light/global-stocks/hlf.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
NNDM,https://image-cdn.pluang.com/icons/light/global-stocks/nndm.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
SAVE,https://image-cdn.pluang.com/icons/light/global-stocks/save.svg,#808080,Data tidak tersedia
INO,https://image-cdn.pluang.com/icons/light/global-stocks/ino.svg,#808080,Saham dalam kondisi sideways atau tidak memiliki momentum kuat.
BF.B,https://image-cdn.pluang.com/icons/light/global-stocks/bf.b.svg,#808080,Data tidak tersedia
